Participant Number,Experience
387,"Um, It was good, had kind of a tough start getting to fit properly, I had it initially on a different finger and it ended up like swelling around the ring. But once I got you know, got a good fit on the right finger. I got used to it pretty quickly. I think initially, I felt like it affected my sleep a little bit just like feeling it there. Being aware of like the lights coming on and things like that. But over time, like it was pretty much like almost like invisible to me. I think the, I don' t know, I think like having to charge it, every five days or so it was like, it was kind of difficult to get into like a habit of doing that. Just because it is such like an irregular like if if it needed to be charged. Like every day, I feel like I almost like would have been better at charging it. "
1050,"You know, it was actually pretty seamless, you know, you put it on in the morning, you get your activities, I exercise early in the morning, I get up at five o'clock, and typically. Either at the gym or on my bike or outside, you know, by 5:30. So for me, it's easy, I don't have to think about it, I really liked that I could pair it with my Apple watch. So basically, for me the to just kind of talk together, and I look at the app. And so it's exciting for me. The other part that I really appreciated was having an opportunity to look at my sleep schedule. And you know, and I also appreciated how it would remind me to go to sleep, you know."
1135,"Yeah. So um, I enjoyed, mostly the sleep information. So that is actually what I was most curious about, what sort of information it would have And so that was fine. The ring itself is okay. It doesn't get in your way. And I don't know how much more you need from.
"
1154,"It was, it was cool. Um I've never used like a daily fitness tracker before. I've only ever use it for like running essentially, with just like the Underarmour app or whatever. "
1319,
1419,And I was very happy to be a part of the process is really thrilled to be a part of it. I have always felt the importance of exercise and wellness being a graduate of Springfield College.
1507,"Yeah, I think it was certainly an interesting experience. Um, I would say that it sort of became part of the daily habit, right? Like, I think the first month, or so you have to get used to the routine and putting it on and getting it charged and like not forgetting to bring the charger. If you go like, go on vacation, to not forget to bring the charger. So it was certainly a lot there. Um, I think it was very novel at first. And so it was like really cool from that perspective. By the end I felt like it was, there was some interesting stuff coming out of it. But like, I'm not sure drastically affected my daily life one way or the other. So"
1633,
1665,"Overall, I thought it was really good. My main focus was on the sleep. (pause) And not being a real tech savvy person on the phone. Any of the other options that might have been available I didn't partake in"
1792,"I actually liked the oura ring, in the respect were, I like it keeps track of my sleep patterns, especially the, how do I get back if I go into sleep."
1861,"Um, I enjoyed it. Yeah, no, I really liked checking it every day checking to see what my sleep was like, I did find it very judgy. I don't sleep a lot. So it would always say you need to slow down, you should take sleep as a priority. And I'm like, yes. Yeah, I know. But that's not an option."
1879,"The hardest part is remembering to open it up once a day, which I don't think I've done today. But otherwise, yeah, I mean, it. It works. It seems to be pretty consistent with the results. It's giving back. And it's actually some of the diagnostics it provides. Changed, I guess, enhanced it with since the study started. "
1911,"(pause) Well, I, there are lots of things I like about it. One is the checking in thing i like i like it tells me to move during the day, even though I have a standing desk, and even standing, I need to move. And it tells me that even though I'm standing, I hardly ever sit. But I still think it's important to move. I really like the sleep app. (pause) That's been really informed, I'd say in terms of anything really novel to me, it's been the sleep analysis, and trying to figure out what I'm doing that could make a difference there. So that's been really great. And the other thing I really like is the camaraderie around it. It's just a commonality with other people in our campus community."
1996,It's easy. Simple.
2084,"Um, I definitely found it very comfortable. I got used to it and things I liked about it. It's kind of really unobtrusive and kept discharge for a long time. I don't know that I used it like a ton. Like I didn't check it every day or like, really get into the metrics that much. But overall, it was pretty positive experience."
2144,"It was a very good experience. I learned a lot, and still learning. I loved it so much, I bought one for my husband, I bought one for my daughter. And I just bought another one as a Christmas present for another daughter."
2244,"Yeah, overall, it was it was good. It was convenient. I enjoyed it. It was it was I substituted for my wedding ring. So that was okay. Yeah, yeah, that was, luckily as a silver one. But overall, it worked. I thought it worked really well, I, I got into the stats more than I thought I would, you know, to the point where I tried to keep myself self motivated anyways, but I found myself like, going to it daily and just making sure, if I was little short goals, you know, remidners I thought were great. Just to keep me honest with everything. But overall, I thought it was convenient, it wasn't intrusive, to anything that I was doing in my daily life. I will say honestly, like, if I didn't wear a wedding ring, I don't know if I want to wear a ring, you know, so. So from that side of it? I don't know. You know, but for me, that just made it more convenient. Just knowing I've already had just substituting it out, you know, minor detail in the whole grand scheme of things. But, but oh, yeah, overall. I mean, it was it was lightweight, and you know, didn't really interfere with much. And like I said, I just got really hooked on the stats and checking."
2312,"I loved it, I wore it. I wore it every single day, except when I had to take it off for surgery. Um, I checked it every morning to you know, I really liked seeing, you know, the sleep metrics and the readiness. And in fact, my sister ended up getting one so we're we kind of connected. So each morning we look at how each other slept and who did more the day before. So I love it."
